Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
44,Detective Conan: The Scarlet Bullet,"$95,371,578",-,-,"$95,371,578",100%,2021
45,Evangelion: 3.0+1.01 Thrice Upon a Time,"$93,882,453","$810,744",0.9%,"$93,071,709",99.1%,2021
46,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%,2021
47,Old,"$90,146,510","$48,276,510",53.6%,"$41,870,000",46.4%,2021
48,Mortal Kombat,"$84,426,031","$42,326,031",50.1%,"$42,100,000",49.9%,2021
49,Boonie Bears: The Wild Life,"$78,132,231",-,-,"$78,132,231",100%,2021
50,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%,2021
51,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%,2021
52,West Side Story,"$76,016,171","$38,530,322",50.7%,"$37,485,849",49.3%,2021
53,1921,"$75,159,828",-,-,"$75,159,828",100%,2021
54,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%,2021
55,Escape Room: Tournament of Champions,"$65,774,490","$25,314,753",38.5%,"$40,459,737",61.5%,2021
56,Belle,"$64,666,502","$4,018,313",6.2%,"$60,648,189",93.8%,2021
57,Ron's Gone Wrong,"$60,692,022","$23,009,270",37.9%,"$37,682,752",62.1%,2021
58,Cloudy Mountain,"$58,348,836",-,-,"$58,348,836",100%,2021
59,Avatar 2021 Re-release,"$57,995,770",-,-,"$57,995,770",100%,2021
60,Nobody,"$57,510,518","$27,568,035",47.9%,"$29,942,483",52.1%,2021
61,New Gods: Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%,2021
62,Upcoming,"$54,300,000",-,-,"$54,300,000",100%,2021
63,Don't Breathe 2,"$53,785,551","$32,712,950",60.8%,"$21,072,601",39.2%,2021
64,Man in Love,"$52,946,097",-,-,"$52,946,097",100%,2021
65,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%,2021
66,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%,2021
67,Luca,"$51,074,773","$1,324,302",2.6%,"$49,750,471",97.4%,2021
68,Belfast,"$49,158,709","$9,250,870",18.8%,"$39,907,839",81.2%,2021
69,My Hero Academia: World Heroes' Mission,"$46,940,541","$12,271,658",26.1%,"$34,668,883",73.9%,2021
70,The French Dispatch,"$46,333,545","$16,124,375",34.8%,"$30,209,170",65.2%,2021
71,In the Heights,"$45,175,167","$29,975,167",66.4%,"$15,200,000",33.6%,2021
72,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%,2021
73,Spirit Untamed,"$42,717,215","$17,716,215",41.5%,"$25,001,000",58.5%,2021
74,Resident Evil: Welcome to Raccoon City,"$41,914,915","$17,000,612",40.6%,"$24,914,303",59.4%,2021
75,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%,2021
76,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%,2021
77,Tokyo Revengers,"$39,714,624",-,-,"$39,714,624",100%,2021
78,Nightmare Alley,"$39,629,195","$11,338,107",28.6%,"$28,291,088",71.4%,2021
79,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%,2021
80,King Richard,"$39,429,285","$15,129,285",38.4%,"$24,300,000",61.6%,2021
81,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$38,052,695",-,-,"$38,052,695",100%,2021
82,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%,2021
83,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%,2021
84,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%,2021
85,We Made a Beautiful Bouquet,"$35,042,879",-,-,"$35,042,879",100%,2021
86,Malignant,"$34,891,791","$13,391,791",38.4%,"$21,500,000",61.6%,2021
87,Licorice Pizza,"$33,274,040","$17,318,007",52%,"$15,956,033",48%,2021
88,Respect,"$32,882,823","$24,278,399",73.8%,"$8,604,424",26.2%,2021
89,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%,2021
90,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%,2021
91,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%,2021
92,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%,2021
93,The Little Things,"$30,842,746","$15,342,746",49.7%,"$15,500,000",50.3%,2021
94,The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%,2021
95,The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%,2021
96,Escape from Mogadishu,"$29,902,716","$346,271",1.2%,"$29,556,445",98.8%,2021
97,Master,"$28,692,230",-,-,"$28,692,230",100%,2021
98,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%,2021
99,The Last Warrior: A Messenger of Darkness,"$27,052,365",-,-,"$27,052,365",100%,2021
100,American Underdog,"$26,514,814","$26,514,814",100%,-,-,2021
101,Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%,2021
102,The Courier,"$26,001,227","$6,613,432",25.4%,"$19,387,795",74.6%,2021
103,Spencer,"$25,246,967","$7,086,632",28.1%,"$18,160,335",71.9%,2021
104,Parallel Mothers,"$23,099,858","$2,297,501",9.9%,"$20,802,357",90.1%,2021
105,The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%,2021
106,99.9 Criminal Lawyer: The Movie,"$23,055,069",-,-,"$23,055,069",100%,2021
107,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%,2021
108,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%,2021
109,School of Magical Animals,"$21,984,454","$288,414",1.3%,"$21,696,040",98.7%,2021
110,Kaamelott: First Installment,"$21,979,122","$188,000",0.9%,"$21,791,122",99.1%,2021
111,After We Fell,"$21,753,705","$2,170,750",10%,"$19,582,955",90%,2021
112,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%,2021
113,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%,2021
114,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$20,752,104",-,-,"$20,752,104",100%,2021
115,Stillwater,"$19,754,272","$14,465,535",73.2%,"$5,288,737",26.8%,2021
116,The Wolf and the Lion,"$19,510,578","$2,072,173",10.6%,"$17,438,405",89.4%,2021
117,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%,2021
118,Dear Evan Hansen,"$19,133,454","$15,002,646",78.4%,"$4,130,808",21.6%,2021
119,Those Who Wish Me Dead,"$19,107,200","$7,407,200",38.8%,"$11,700,000",61.2%,2021
120,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%,2021
121,The Green Knight,"$18,887,953","$17,173,321",90.9%,"$1,714,632",9.1%,2021
122,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%,2021
123,Sinkhole,"$18,816,801",-,-,"$18,816,801",100%,2021
124,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%,2021
125,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%,2021
126,"Dad, I'm Sorry","$17,480,489","$350,000",2%,"$17,130,489",98%,2021
127,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%,2021
128,Railway Heroes,"$17,223,704",-,-,"$17,223,704",100%,2021
129,Your Turn to Kill,"$16,511,822",-,-,"$16,511,822",100%,2021
130,Cry Macho,"$16,510,734","$10,310,734",62.4%,"$6,200,000",37.6%,2021
131,Reminiscence,"$16,400,193","$3,900,193",23.8%,"$12,500,000",76.2%,2021
132,Legend No. 17,"$16,096,860",-,-,"$16,096,860",100%,2021
133,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%,2021
134,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$15,591,681","$799,342",5.1%,"$14,604,379",93.7%,2021
135,The Dry,"$15,576,286","$364,237",2.3%,"$15,212,049",97.7%,2021
136,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%,2021
137,Drive My Car,"$15,364,572","$2,352,240",15.3%,"$13,012,332",84.7%,2021
138,Minari,"$15,288,578","$3,110,580",20.3%,"$12,177,998",79.7%,2021
139,Something About Love,"$15,204,017",-,-,"$15,204,017",100%,2021
140,Anita,"$15,017,470","$556,632",3.7%,"$14,460,838",96.3%,2021
141,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%,2021
142,And So the Baton Is Passed,"$14,368,469",-,-,"$14,368,469",100%,2021
143,Sword Art Online: Progressive - Aria of a Starless Night,"$14,032,747","$1,050,000",7.5%,"$12,982,747",92.5%,2021
144,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-,2021
145,Eiffel,"$13,649,605","$444,814",3.3%,"$13,204,791",96.7%,2021
146,OSS 117: From Africa with Love,"$13,457,801",-,-,"$13,457,801",100%,2021
147,Hostage: Missing Celebrity,"$13,174,292",-,-,"$13,174,292",100%,2021
148,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%,2021
149,The Many Saints of Newark,"$13,037,403","$8,237,403",63.2%,"$4,800,000",36.8%,2021
150,The Monkey King: Reborn,"$13,017,088",-,-,"$13,017,088",100%,2021
151,No Escapes,"$12,916,151",-,-,"$12,916,151",100%,2021
152,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%,2021
153,The Worst Person in the World,"$12,687,507","$3,034,775",23.9%,"$9,652,732",76.1%,2021
154,Character,"$12,628,017",-,-,"$12,628,017",100%,2021
155,On the Line,"$12,522,284",-,-,"$12,522,284",100%,2021
156,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%,2021
157,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%,2021
158,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%,2021
159,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%,2021
160,Aline,"$11,149,943","$667,815",6%,"$10,482,128",94%,2021
161,Krack,"$10,442,916",-,-,"$10,442,916",100%,2021
162,The Last Warrior,"$10,363,914",-,-,"$10,363,914",100%,2021
163,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%,2021
164,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%,2021
165,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%,2021
166,Never Stop,"$10,224,935",-,-,"$10,224,935",100%,2021
167,Ainbo,"$10,172,403",-,-,"$10,172,403",100%,2021
168,Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,"$9,742,510",-,-,"$9,742,510",100%,2021
169,Black Box,"$9,738,741",-,-,"$9,738,741",100%,2021
170,The Soul,"$9,600,000",-,-,"$9,600,000",100%,2021
171,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%,2021
172,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%,2021
173,Dad,"$9,267,397",-,-,"$9,267,397",100%,2021
174,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,990,599",-,-,"$8,377,569",93.2%,2021
175,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%,2021
176,Moonbound,"$8,864,412",-,-,"$8,864,412",100%,2021
177,The Eleventh Chapter,"$8,844,997",-,-,"$8,844,997",100%,2021
178,The Medium,"$8,826,689",-,-,"$8,826,689",100%,2021
179,The Vault,"$8,803,864",-,-,"$8,803,864",100%,2021
180,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%,2021
181,The Protégé,"$8,737,253","$7,446,823",85.2%,"$1,290,430",14.8%,2021
182,Lost Illusions,"$8,635,184","$126,391",1.5%,"$8,508,793",98.5%,2021
183,Agent Backkom: King's Bear,"$8,578,734",-,-,"$8,578,734",100%,2021
184,Pil's Adventures,"$8,567,345",-,-,"$8,567,345",100%,2021
185,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%,2021
186,Delicious,"$8,371,523",-,-,"$8,371,523",100%,2021
187,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%,2021
188,Girls to Buy,"$8,177,284",-,-,"$8,177,284",100%,2021
189,Green Snake,"$8,170,000",-,-,"$8,170,000",100%,2021
190,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%,2021
191,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%,2021
192,Contra,"$7,762,797",-,-,"$7,762,797",100%,2021
193,Hard Hit,"$7,658,021",-,-,"$7,658,021",100%,2021
194,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%,2021
195,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%,2021
196,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%,2021
197,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%,2021
198,Judas and the Black Messiah,"$7,478,009","$5,478,009",73.3%,"$2,000,000",26.7%,2021
199,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%,2021
200,Signal: The Movie,"$7,388,603",-,-,"$7,388,603",100%,2021
,,,,,,,2021
Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,2020
2,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$453,230,408","$49,505,008",10.9%,"$403,725,400",89.1%,2020
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,2020
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,2020
5,Tenet,"$365,304,105","$58,504,105",16%,"$306,800,000",84%,2020
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%,2020
7,Dolittle,"$251,410,631","$77,047,065",30.6%,"$174,363,566",69.4%,2020
8,Jiang Ziya,"$240,646,355","$214,670",<0.1%,"$240,431,685",99.9%,2020
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,2020
10,The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%,2020
11,Birds of Prey,"$205,358,461","$84,158,461",41%,"$121,200,000",59%,2020
12,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%,2020
13,Wonder Woman 1984,"$169,601,036","$46,801,036",27.6%,"$122,800,000",72.4%,2020
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%,2020
15,The Invisible Man,"$144,492,724","$70,410,000",48.7%,"$74,082,724",51.3%,2020
16,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%,2020
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%,2020
18,Soul,"$121,903,885","$946,154",0.8%,"$120,957,731",99.2%,2020
19,The Call of the Wild,"$111,166,669","$62,342,368",56.1%,"$48,824,301",43.9%,2020
20,Mamma Mia! 2020 Re-release,"$84,604,815",-,-,"$84,579,977",100%,2020
21,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%,2020
22,Mulan,"$69,965,374",-,-,"$69,965,374",100%,2020
23,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%,2020
24,Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%,2020
25,The Rescue,"$64,237,554","$18,797",<0.1%,"$64,218,757",100%,2020
26,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%,2020
27,Greenland,"$52,300,000",-,-,"$52,300,000",100%,2020
28,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%,2020
29,Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%,2020
30,Fantasy Island,"$49,447,308","$27,309,289",55.2%,"$22,138,019",44.8%,2020
31,Trolls World Tour,"$49,276,818","$450,000",0.9%,"$48,826,818",99.1%,2020
32,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%,2020
33,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%,2020
34,"From Today, It's My Turn: The Movie","$47,895,887",-,-,"$47,895,887",100%,2020
35,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%,2020
36,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%,2020
37,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%,2020
38,The War with Grandpa,"$43,387,638","$21,277,892",49%,"$22,109,746",51%,2020
39,Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%,2020
40,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%,2020
41,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%,2020
42,Bloodshot,"$39,861,118","$12,561,824",31.5%,"$27,299,294",68.5%,2020
43,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%,2020
44,The Untold Tale of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%,2020
45,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%,2020
46,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%,2020
47,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%,2020
48,Doraemon the Movie: Nobita's New Dinosaur,"$34,218,525",-,-,"$34,218,525",100%,2020
49,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%,2020
50,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,503,136",-,-,"$31,501,815",100%,2020
51,Honest Thief,"$31,220,247","$14,163,574",45.4%,"$17,056,673",54.6%,2020
52,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%,2020
53,The Witches,"$29,303,571","$203,571",0.7%,"$29,100,000",99.3%,2020
54,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%,2020
55,Scoob!,"$28,588,425","$2,188,425",7.7%,"$26,400,000",92.3%,2020
56,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%,2020
57,Emma.,"$26,404,660","$10,055,355",38.1%,"$16,349,305",61.9%,2020
58,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%,2020
59,Gravity 2020 Re-release,"$24,857,278",-,-,"$24,857,244",100%,2020
60,The Father,"$24,048,935","$2,122,771",8.8%,"$21,920,547",91.1%,2020
61,Poupelle of Chimney Town,"$22,715,146",-,-,"$22,715,146",100%,2020
62,Gretel & Hansel,"$22,304,357","$15,347,654",68.8%,"$6,956,703",31.2%,2020
63,Moana 2020 Re-release,"$21,737,046",-,-,"$21,736,672",100%,2020
64,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%,2020
65,Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,-,"$21,097,921",100%,2020
66,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%,2020
67,Threads - Our Tapestry of Love,"$20,474,270",-,-,"$20,474,270",100%,2020
68,Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%,2020
69,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%,2020
70,Interstellar 2020 Re-release,"$19,990,000",-,-,"$19,990,000",100%,2020
71,Ice 2,"$19,788,995",-,-,"$19,788,995",100%,2020
72,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%,2020
73,The Turning,"$19,428,166","$15,472,775",79.6%,"$3,955,391",20.4%,2020
74,Fate/stay night [Heaven's Feel] III. spring song,"$19,252,497","$200,000",1%,"$19,052,497",99%,2020
75,Promising Young Woman,"$18,854,166","$6,460,965",34.3%,"$12,393,201",65.7%,2020
76,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%,2020
77,Freaky,"$18,073,433","$9,030,855",50%,"$9,042,578",50%,2020
78,The Promised Neverland,"$17,710,977",-,-,"$17,710,977",100%,2020
79,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%,2020
80,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%,2020
81,Digimon Adventure: Last Evolution Kizuna,"$17,361,009",-,-,"$17,361,009",100%,2020
82,Bye Bye Morons,"$16,955,924",-,-,"$16,955,924",100%,2020
83,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%,2020
84,I Still Believe,"$16,069,730","$9,868,521",61.4%,"$6,201,209",38.6%,2020
85,The Way Back,"$15,490,514","$13,590,514",87.7%,"$1,900,000",12.3%,2020
86,Father There is Only One 2,"$15,373,181",-,-,"$15,373,181",100%,2020
87,The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%,2020
88,Nightlife,"$14,308,789",-,-,"$14,308,789",100%,2020
89,Pawn,"$14,193,957",-,-,"$14,193,957",100%,2020
90,The Post 2020 Re-release,"$13,995,207",-,-,"$13,995,207",100%,2020
91,#Alive,"$13,432,212",-,-,"$13,432,212",100%,2020
92,Howling Village,"$13,394,556",-,-,"$13,394,556",100%,2020
93,Come Play,"$13,182,254","$10,475,990",79.5%,"$2,706,264",20.5%,2020
94,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%,2020
95,Another Round,"$12,745,392",-,-,"$12,742,455",100%,2020
96,News of the World,"$12,668,325","$12,668,325",100%,-,-,2020
97,Collectors,"$12,640,113",-,-,"$12,640,113",100%,2020
98,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,-,"$12,221,804",100%,2020
99,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%,2020
100,The Asadas,"$11,888,743",-,-,"$11,888,743",100%,2020
101,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%,2020
102,30 jours max,"$11,007,713",-,-,"$11,007,713",100%,2020
103,Bigfoot Family,"$10,987,975",-,-,"$10,987,975",100%,2020
104,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%,2020
105,Two by Two: Overboard!,"$10,885,076",-,-,"$10,885,076",100%,2020
106,Let Him Go,"$10,835,686","$9,358,025",86.4%,"$1,477,661",13.6%,2020
107,One Second,"$10,791,301",-,-,"$10,791,301",100%,2020
108,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%,2020
109,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-,2020
110,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%,2020
111,The Hunt,"$10,550,350","$5,812,500",55.1%,"$4,737,850",44.9%,2020
112,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%,2020
113,My Spy,"$10,200,000",-,-,"$10,200,000",100%,2020
114,100% Wolf,"$9,766,489","$658,764",6.7%,"$9,107,725",93.3%,2020
115,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%,2020
116,Inception 10th Anniversary re-release,"$9,581,100",-,-,"$9,581,100",100%,2020
117,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%,2020
118,Secret Zoo,"$9,471,940",-,-,"$9,471,940",100%,2020
119,365 Days,"$9,458,590",-,-,"$9,458,590",100%,2020
120,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%,2020
121,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%,2020
122,The Closet,"$9,039,424",-,-,"$9,039,424",100%,2020
123,Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%,2020
124,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%,2020
125,I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%,2020
126,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%,2020
127,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%,2020
128,The Secret Garden,"$8,721,243",-,-,"$8,721,243",100%,2020
129,War of the Eltis,"$8,613,864",-,-,"$8,613,864",100%,2020
130,Malang,"$8,399,765",-,-,"$8,399,765",100%,2020
131,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%,2020
132,"My Donkey, My Lover & I","$7,974,769","$152,184",1.9%,"$7,821,615",98.1%,2020
133,AI Amok,"$7,932,191",-,-,"$7,932,191",100%,2020
134,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%,2020
135,Antebellum,"$7,792,716",-,-,"$7,792,716",100%,2020
136,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%,2020
137,Spirited Away Studio Ghibli Fest 2020,"$7,732,697",-,-,"$7,732,435",100%,2020
138,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,800",-,-,"$7,673,207",100%,2020
139,The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%,2020
140,De Gaulle,"$7,501,454",-,-,"$7,501,454",100%,2020
141,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%,2020
142,The Best Years,"$7,355,020",-,-,"$7,355,020",100%,2020
143,Mamma Mia! Here We Go Again 2020 Re-release,"$7,225,624",-,-,"$7,220,137",99.9%,2020
144,Bohemian Rhapsody 2020 Re-release,"$7,158,262","$240,000",3.4%,"$6,914,052",96.6%,2020
145,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%,2020
146,Spycies,"$7,128,952",-,-,"$7,128,952",100%,2020
147,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%,2020
148,Adu,"$7,085,946",-,-,"$7,085,946",100%,2020
149,Fatale,"$7,031,289","$6,306,897",89.7%,"$724,392",10.3%,2020
150,Dragon Rider,"$6,977,378",-,-,"$6,977,378",100%,2020
151,Jim Button and the Wild 13,"$6,933,267",-,-,"$6,933,267",100%,2020
152,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%,2020
153,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%,2020
154,Innocence,"$6,688,330",-,-,"$6,659,968",99.6%,2020
155,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%,2020
156,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%,2020
157,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%,2020
158,Hammamet,"$6,434,874",-,-,"$6,434,874",100%,2020
159,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%,2020
160,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%,2020
161,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%,2020
162,Simply Black,"$6,323,750",-,-,"$6,323,750",100%,2020
163,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%,2020
164,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%,2020
165,Hotel Belgrade,"$6,189,882",-,-,"$6,189,882",100%,2020
166,How to Be a Good Wife,"$6,033,430",-,-,"$6,033,430",100%,2020
167,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%,2020
168,A Piece of Cake,"$6,008,448",-,-,"$6,008,448",100%,2020
169,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%,2020
170,How I Became a Gangster,"$5,975,729",-,-,"$5,975,729",100%,2020
171,The Innocent,"$5,929,392","$22,549",0.4%,"$5,906,843",99.6%,2020
172,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%,2020
173,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%,2020
174,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%,2020
175,The Lion King 2020 Re-release,"$5,773,266",-,-,"$5,773,266",100%,2020
176,Last Letter,"$5,663,972",-,-,"$5,663,972",100%,2020
177,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%,2020
